ocid,releases/0/id,releases/0/contracts/0/id,releases/0/contracts/0/implementation/milestones/0/id,releases/0/contracts/0/implementation/milestones/0/type,releases/0/contracts/0/implementation/milestones/0/dateMet,releases/0/contracts/0/implementation/milestones/0/code,releases/0/contracts/0/implementation/milestones/0/title
ocds-hu01ve-7964811,ocds-hu01ve-7964811-01,1941583,1941583-2,delivery,2021-04-06T12:00:00Z,2,
ocds-hu01ve-7964811,ocds-hu01ve-7964811-01,1941583,1941583-3,delivery,2021-04-06T12:00:00Z,3,
ocds-hu01ve-7964811,ocds-hu01ve-7964811-01,1941583,1941583-1,delivery,2021-04-06T12:00:00Z,1,
ocds-hu01ve-7894601,ocds-hu01ve-7894601-01,1960199,1960199-1,delivery,2021-06-07T12:00:00Z,1,
ocds-hu01ve-7894601,ocds-hu01ve-7894601-01,1960199,1960199-2,delivery,2021-07-07T12:00:00Z,2,
ocds-hu01ve-7919115,ocds-hu01ve-7919115-01,2060108,2060108-1,delivery,2021-11-24T12:00:00Z,1,LIQUIDAZIONE FATTURA PER PERIODO DI AFFIDAMENTO LUGLIO - OTTOBRE 2021
ocds-hu01ve-7823088,ocds-hu01ve-7823088-01,2047634,2047634-2,delivery,2022-01-27T12:00:00Z,2,SAL N. 2 A TUTTO IL 27.01.2022
ocds-hu01ve-7823088,ocds-hu01ve-7823088-01,2047634,2047634-1,delivery,2021-12-21T12:00:00Z,1,SAL N. 1 A TUTTO IL 21/12/2021
ocds-hu01ve-7923203,ocds-hu01ve-7923203-01,1814690,1814690-1,delivery,2020-11-06T12:00:00Z,1,
ocds-hu01ve-7905471,ocds-hu01ve-7905471-01,1863292,1863292-1,delivery,2021-05-31T12:00:00Z,1,1
ocds-hu01ve-7868975,ocds-hu01ve-7868975-01,1883064,1883064-3,delivery,2021-11-23T12:00:00Z,3,3
ocds-hu01ve-7868975,ocds-hu01ve-7868975-01,1883064,1883064-1,delivery,2021-07-05T12:00:00Z,1,1
ocds-hu01ve-7868975,ocds-hu01ve-7868975-01,1883064,1883064-2,delivery,2021-08-05T12:00:00Z,2,2
ocds-hu01ve-7947349,ocds-hu01ve-7947349-01,1857440,1857440-1,delivery,2021-07-14T12:00:00Z,1,
ocds-hu01ve-7899918,ocds-hu01ve-7899918-01,1918520,1918520-2,delivery,2021-05-12T12:00:00Z,2,SAL 2
ocds-hu01ve-7899918,ocds-hu01ve-7899918-01,1918520,1918520-1,delivery,2021-04-07T12:00:00Z,1,SAL 1
ocds-hu01ve-7899918,ocds-hu01ve-7899918-01,1918520,1918520-3,delivery,2021-06-22T12:00:00Z,3,SAL 3
ocds-hu01ve-7902675,ocds-hu01ve-7902675-01,1862935,1862935-1,delivery,2021-04-27T12:00:00Z,1,1
ocds-hu01ve-7902675,ocds-hu01ve-7902675-01,1862935,1862935-2,delivery,2021-10-01T12:00:00Z,2,2
ocds-hu01ve-7902675,ocds-hu01ve-7902675-01,1862935,1862935-3,delivery,2021-12-13T12:00:00Z,3,3
ocds-hu01ve-7903253,ocds-hu01ve-7903253-01,1817751,1817751-2,delivery,2021-12-31T12:00:00Z,2,2
ocds-hu01ve-7903253,ocds-hu01ve-7903253-01,1817751,1817751-1,delivery,2021-06-30T12:00:00Z,1,1
ocds-hu01ve-7903253,ocds-hu01ve-7903253-01,1817774,1817774-2,delivery,2021-12-31T12:00:00Z,2,2
ocds-hu01ve-7903253,ocds-hu01ve-7903253-01,1817774,1817774-1,delivery,2021-06-30T12:00:00Z,1,1
ocds-hu01ve-7903253,ocds-hu01ve-7903253-01,1817748,1817748-2,delivery,2021-12-31T12:00:00Z,2,2
ocds-hu01ve-7903253,ocds-hu01ve-7903253-01,1817748,1817748-1,delivery,2021-06-30T12:00:00Z,1,1
ocds-hu01ve-7913882,ocds-hu01ve-7913882-01,1808773,1808773-1,delivery,2020-10-27T12:00:00Z,1,
ocds-hu01ve-7838922,ocds-hu01ve-7838922-01,1900651,1900651-1,delivery,2021-10-05T12:00:00Z,1,
ocds-hu01ve-7838922,ocds-hu01ve-7838922-01,1900651,1900651-3,delivery,2022-03-15T12:00:00Z,3,
ocds-hu01ve-7838922,ocds-hu01ve-7838922-01,1900651,1900651-2,delivery,2022-03-15T12:00:00Z,2,
ocds-hu01ve-7902077,ocds-hu01ve-7902077-01,1832240,1832240-1,delivery,2021-06-30T12:00:00Z,1,
ocds-hu01ve-7902077,ocds-hu01ve-7902077-01,1832240,1832240-2,delivery,2021-10-31T12:00:00Z,2,
ocds-hu01ve-7902077,ocds-hu01ve-7902077-01,1832240,1832240-3,delivery,2021-10-31T12:00:00Z,3,
ocds-hu01ve-7920054,ocds-hu01ve-7920054-01,2029968,2029968-1,delivery,2021-06-30T12:00:00Z,1,MONITORAGGIO DAL 01/01/2021 AL 30/06/2021
ocds-hu01ve-7920054,ocds-hu01ve-7920054-01,2029968,2029968-2,delivery,2020-12-31T12:00:00Z,2,MONITORAGGIO DAL 01/11/2020 AL 31/12/2020
ocds-hu01ve-7881629,ocds-hu01ve-7881629-01,1858045,1858045-2,delivery,2021-04-22T12:00:00Z,2,AVANZAMENTO N. 1
ocds-hu01ve-7881629,ocds-hu01ve-7881629-01,1858045,1858045-1,delivery,2021-08-19T12:00:00Z,1,AVANZAMENTO N. 2
ocds-hu01ve-7892686,ocds-hu01ve-7892686-01,1909817,1909817-1,delivery,2021-10-12T12:00:00Z,1,S.A.L. N. 1
ocds-hu01ve-7891507,ocds-hu01ve-7891507-01,1963081,1963081-1,delivery,2021-07-12T12:00:00Z,1,STATO AVANZAMENTO PAGAMENTI ESTRATTO DA SISTEMA AREAS MASCHERA 190 AVANZATARN
ocds-hu01ve-7891507,ocds-hu01ve-7891507-01,1963257,1963257-1,delivery,2021-07-13T12:00:00Z,1,STATO AVANZAMENTO PAGAMENTI ESTRATTO DA SISTEMA AREAS MASCHERA 190 AVANZATARN
ocds-hu01ve-7903203,ocds-hu01ve-7903203-01,1871978,1871978-1,delivery,2021-08-05T12:00:00Z,1,
ocds-hu01ve-7903203,ocds-hu01ve-7903203-01,1871978,1871978-2,delivery,2022-01-18T12:00:00Z,2,
ocds-hu01ve-7903203,ocds-hu01ve-7903203-01,1871978,1871978-4,delivery,2022-02-21T12:00:00Z,4,
ocds-hu01ve-7903203,ocds-hu01ve-7903203-01,1871978,1871978-3,delivery,2021-08-06T12:00:00Z,3,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876024,1876024-5,delivery,2021-10-31T12:00:00Z,5,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876024,1876024-1,delivery,2021-06-30T12:00:00Z,1,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876024,1876024-3,delivery,2021-08-31T12:00:00Z,3,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876024,1876024-6,delivery,2021-11-30T12:00:00Z,6,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876024,1876024-8,delivery,2022-01-31T12:00:00Z,8,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876024,1876024-7,delivery,2021-12-31T12:00:00Z,7,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876024,1876024-4,delivery,2021-09-30T12:00:00Z,4,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876024,1876024-9,delivery,2022-02-28T12:00:00Z,9,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876024,1876024-2,delivery,2021-07-31T12:00:00Z,2,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876039,1876039-5,delivery,2021-10-31T12:00:00Z,5,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876039,1876039-1,delivery,2021-06-30T12:00:00Z,1,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876039,1876039-8,delivery,2022-01-31T12:00:00Z,8,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876039,1876039-4,delivery,2021-09-30T12:00:00Z,4,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876039,1876039-3,delivery,2021-08-31T12:00:00Z,3,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876039,1876039-6,delivery,2021-11-30T12:00:00Z,6,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876039,1876039-9,delivery,2022-02-28T12:00:00Z,9,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876039,1876039-2,delivery,2021-07-31T12:00:00Z,2,
