ocid,releases/0/id,releases/0/contracts/0/id,releases/0/contracts/0/items/0/id,releases/0/contracts/0/items/0/relatedLot,releases/0/contracts/0/items/0/description,releases/0/contracts/0/items/0/unit/value/amount,releases/0/contracts/0/items/0/unit/value/currency,releases/0/contracts/0/items/0/classification/id,releases/0/contracts/0/items/0/classification/description,releases/0/contracts/0/items/0/classification/scheme,releases/0/contracts/0/items/0/classification/uri
ocds-hu01ve-7903821,ocds-hu01ve-7903821-01,2043691,8465159631,8465159631,SERVIZIO DI ACCOMPAGNAMENTO SOCIO EDUCATIVO A FAVORE DI MINORI E DELLE LORO FAMIGLIE AMPLIAMENTO LOTTO 5 ,65866.5,EUR,85312000-9,SERVIZI DI ASSISTENZA SOCIALE SENZA ALLOGGIO,CPV,https://dati.anticorruzione.it/data/cpv/85312000-9
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962694,8473014857,8473014857,"PROVINCIA DI FOGGIA - PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS N. 50/16 CON TORNATA UNICA DI GARA  PER: AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE, GESTIONE E CONDUZIONE DEGLI IMPIANTI TERMICI, CONDIZIONAMENTO, ACQUA CALDA SANITARIA, SOLARE TERMICO E U.T.A. , CON L'OBIETTIVO DELLA MESSA IN SICUREZZA, EFFICIENTAMENTO ENERGETICO, USO RAZIONALE DELL'ENERGIA E DELLE MATERIE PRIME ENERGETICHE PER GARANTIRE CONDIZIONI MICROCLIMATICHE UNIFORMI E SALUBRI, PRESSO GLI IMMOBILI E LE SCUOLE DI COMPETENZA DELLA PROVINCIA DI FOGGIA. N. 9 AMBITI TERRITORIALI- LOTTO N. 2: AMBITO TERRITORIALE DI FOGGIA SUD.",287704.92,EUR,50720000-8,SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI,CPV,https://dati.anticorruzione.it/data/cpv/50720000-8
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962704,8473021E1C,8473021E1C,"PROVINCIA DI FOGGIA - PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS N. 50/16 CON TORNATA UNICA DI GARA  PER: AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE, GESTIONE E CONDUZIONE DEGLI IMPIANTI TERMICI, CONDIZIONAMENTO, ACQUA CALDA SANITARIA, SOLARE TERMICO E U.T.A., CON L'OBIETTIVO DELLA MESSA IN SICUREZZA, EFFICIENTAMENTO ENERGETICO, USO RAZIONALE DELL'ENERGIA E DELLE MATERIE PRIME ENERGETICHE PER GARANTIRE CONDIZIONI MICROCLIMATICHE UNIFORMI E SALUBRI, PRESSO GLI IMMOBILI E LE SCUOLE DI COMPETENZA DELLA PROVINCIA DI FOGGIA. N. 9 AMBITI TERRITORIALI- LOTTO N. 7: AMBITO TERRITORIALE DI LUCERA",235200,EUR,50720000-8,SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI,CPV,https://dati.anticorruzione.it/data/cpv/50720000-8
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962698,8473018BA3,8473018BA3,"PROVINCIA DI FOGGIA - PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS N. 50/16 CON TORNATA UNICA DI GARA  PER: AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE, GESTIONE E CONDUZIONE DEGLI IMPIANTI TERMICI, CONDIZIONAMENTO, ACQUA CALDA SANITARIA, SOLARE TERMICO E U.T.A., CON L'OBIETTIVO DELLA MESSA IN SICUREZZA, EFFICIENTAMENTO ENERGETICO, USO RAZIONALE DELL'ENERGIA E DELLE MATERIE PRIME ENERGETICHE PER GARANTIRE CONDIZIONI MICROCLIMATICHE UNIFORMI E SALUBRI, PRESSO GLI IMMOBILI E LE SCUOLE DI COMPETENZA DELLA PROVINCIA DI FOGGIA. N. 9 AMBITI TERRITORIALI. LOTTO 5 AMBITO TERRITORIALE DI CERIGNOLA",205200,EUR,50720000-8,SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI,CPV,https://dati.anticorruzione.it/data/cpv/50720000-8
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962707,8473023FC2,8473023FC2,"PROVINCIA DI FOGGIA - PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS N. 50/16 CON TORNATA UNICA DI GARA  PER: AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE, GESTIONE E CONDUZIONE DEGLI IMPIANTI TERMICI, CONDIZIONAMENTO, ACQUA CALDA SANITARIA, SOLARE TERMICO E U.T.A., CON L'OBIETTIVO DELLA MESSA IN SICUREZZA, EFFICIENTAMENTO ENERGETICO, USO RAZIONALE DELL'ENERGIA E DELLE MATERIE PRIME ENERGETICHE PER GARANTIRE CONDIZIONI MICROCLIMATICHE UNIFORMI E SALUBRI, PRESSO GLI IMMOBILI E LE SCUOLE DI COMPETENZA DELLA PROVINCIA DI FOGGIA. N. 9 AMBITI TERRITORIALI- LOTTO N. 8: AMBITO TERRITORIALE DI SAN GIOVANNI ROTONDO",263100,EUR,50720000-8,SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI,CPV,https://dati.anticorruzione.it/data/cpv/50720000-8
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962696,84730169FD,84730169FD,"PROVINCIA DI FOGGIA - PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS N. 50/16 CON TORNATA UNICA DI GARA  PER: AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE, GESTIONE E CONDUZIONE DEGLI IMPIANTI TERMICI, CONDIZIONAMENTO, ACQUA CALDA SANITARIA, SOLARE TERMICO E U.T.A., CON L'OBIETTIVO DELLA MESSA IN SICUREZZA, EFFICIENTAMENTO ENERGETICO, USORAZIONALE DELL'ENERGIA E DELLE MATERIE PRIME ENERGETICHE PER GARANTIRE CONDIZIONI MICROCLIMATICHE UNIFORMI E SALUBRI, PRESSO GLI IMMOBILI E LE SCUOLE DI COMPETENZA DELLA PROVINCIA DI FOGGIA. N. 9 AMBITI TERRITORIALI- LOTTO N. 4 AMBITO TERRITORIALE MANFREDONIA",307032.78,EUR,50720000-8,SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI,CPV,https://dati.anticorruzione.it/data/cpv/50720000-8
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962690,8473013784,8473013784,"PROVINCIA DI FOGGIA - PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS N. 50/16 CON TORNATA UNICA DI GARA  PER: AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE, GESTIONE E CONDUZIONE DEGLI IMPIANTI TERMICI, CONDIZIONAMENTO, ACQUA CALDA SANITARIA, SOLARE TERMICO E U.T.A. , CON L'OBIETTIVO DELLA MESSA IN SICUREZZA, EFFICIENTAMENTO ENERGETICO, USO RAZIONALE DELL'ENERGIA E DELLE MATERIE PRIME ENERGETICHE PER GARANTIRE CONDIZIONI MICROCLIMATICHE UNIFORMI E SALUBRI, PRESSO GLI IMMOBILI E LE SCUOLE DI COMPETENZA DELLA PROVINCIA DI FOGGIA. N. 9 AMBITI TERRITORIALI- LOTTO N. 1: AMBITO TERRITORIALE DI FOGGIA CENTRO.",138000,EUR,50720000-8,SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI,CPV,https://dati.anticorruzione.it/data/cpv/50720000-8
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962710,847302409A,847302409A,"PROVINCIA DI FOGGIA - PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS N. 50/16 CON TORNATA UNICA DI GARA  PER: AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE, GESTIONE E CONDUZIONE DEGLI IMPIANTI TERMICI, CONDIZIONAMENTO, ACQUA CALDA SANITARIA, SOLARE TERMICO E U.T.A., CON L'OBIETTIVO DELLA MESSA IN SICUREZZA, EFFICIENTAMENTO ENERGETICO, USO RAZIONALE DELL'ENERGIA E DELLE MATERIE PRIME ENERGETICHE PER GARANTIRE CONDIZIONI MICROCLIMATICHE UNIFORMI E SALUBRI, PRESSO GLI IMMOBILI E LE SCUOLE DI COMPETENZA DELLA PROVINCIA DI FOGGIA. N. 9 AMBITI TERRITORIALI- LOTTO N. 9: AMBITO TERRITORIALE DI VIESTE",459295.08,EUR,50720000-8,SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI,CPV,https://dati.anticorruzione.it/data/cpv/50720000-8
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962701,8473020D49,8473020D49,"PROVINCIA DI FOGGIA - PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS N. 50/16 CON TORNATA UNICA DI GARA  PER: AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE, GESTIONE E CONDUZIONE DEGLI IMPIANTI TERMICI, CONDIZIONAMENTO, ACQUA CALDA SANITARIA, SOLARE TERMICO E U.T.A. , CON L'OBIETTIVO DELLA MESSA IN SICUREZZA, EFFICIENTAMENTO ENERGETICO, USO RAZIONALE DELL'ENERGIA E DELLE MATERIE PRIME ENERGETICHE PER GARANTIRE CONDIZIONI MICROCLIMATICHE UNIFORMI E SALUBRI, PRESSO GLI IMMOBILI E LE SCUOLE DI COMPETENZA DELLA PROVINCIA DI FOGGIA. N. 9 AMBITI TERRITORIALI- LOTTO N. 6: AMBITO TERRITORIALE DI SAN SEVERO.",548852.46,EUR,50720000-8,SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI,CPV,https://dati.anticorruzione.it/data/cpv/50720000-8
ocds-hu01ve-7910762,ocds-hu01ve-7910762-01,1962695,847301592A,847301592A,"PROVINCIA DI FOGGIA - PROCEDURA APERTA AI SENSI DELL'ART. 60 DEL D.LGS N. 50/16 CON TORNATA UNICA DI GARA  PER: AFFIDAMENTO DEI SERVIZI DI MANUTENZIONE, GESTIONE E CONDUZIONE DEGLI IMPIANTI TERMICI, CONDIZIONAMENTO, ACQUA CALDA SANITARIA, SOLARE TERMICO E U.T.A. , CON L'OBIETTIVO DELLA MESSA IN SICUREZZA, EFFICIENTAMENTO ENERGETICO, USORAZIONALE DELL'ENERGIA E DELLE MATERIE PRIME ENERGETICHE PER GARANTIRE CONDIZIONI MICROCLIMATICHE UNIFORMI E SALUBRI, PRESSO GLI IMMOBILI E LE SCUOLE DI COMPETENZA DELLA PROVINCIA DI FOGGIA. N. 9 AMBITI TERRITORIALI- LOTTO N. 3: AMBITO TERRITORIALE DI FOGGIA OVEST.",256500,EUR,50720000-8,SERVIZI DI RIPARAZIONE E MANUTENZIONE DI RISCALDAMENTI CENTRALI,CPV,https://dati.anticorruzione.it/data/cpv/50720000-8
